Name,Year,Type,Notable Commanders,Warships_sunk_n_total_loss_No,Warships_sunk_n_total_loss_Tons-n-GRT,Warships_Damaged_No,Warships_Damaged_Tons-n-GRT,Merchant_Ships_sunk_No,Merchant_Ships_sunk_GRT,Merchant_Ships_damaged_No,Merchant_Ships_damaged_GRT,Merchant_Ships_total_loss_No,Merchant_Ships_total_loss_GRT,Fate_Event,Fate_Date,Notes,URL,Commissioned,Patrols,Wolfpacks,Flotilla
U-204,1941,VIIC,,1,"1,060",0,0,4,"17,157",0,0,0,0,Sunk,19 October 1941,HMS Mallow & HMS Rochester,https://en.wikipedia.org/wiki/German_submarine_U-204,1941-03-08,3,"{'West': ['5', '16 June 1941'], 'Kurfürst': ['16', '20 June 1941'], 'Breslau': ['5', '19 October 1941']}","{'1st U-boat Flotilla': ['8 March ', ' 19 October 1941']}"
U-205,1941,VIIC,,1,"5,450",0,0,0,0,0,0,0,0,Sunk,17 February 1943,HMS Paladin & SAAF Blenheim,https://en.wikipedia.org/wiki/German_submarine_U-205,1941-05-03,11,"{'Arnauld': ['5', '18 November 1941']}","{'3rd U-boat Flotilla': ['3 May ', ' 1 November 1941'], '29th U-boat Flotilla': ['1 November 1941 ', ' 17 February 1943']}"
U-206,1941,VIIC,,1,925,0,0,2,"3,283",0,0,0,0,Missing,29 November 1941,Possibly struck a mine,https://en.wikipedia.org/wiki/German_submarine_U-206,1941-05-17,3,"{'Grönland': ['10', '23 August 1941'], 'Kurfürst': ['23 August', '2 September 1941'], 'Seewolf': ['2', '7 September 1941'], 'Breslau': ['2', '23 October 1941']}","{'3rd U-boat Flotilla': ['17 May ', ' 30 November 1941']}"
U-207,1941,VIIC,,0,0,0,0,2,"9,727",0,0,0,0,Sunk,11 September 1941,HMS Leamington & HMS Veteran,https://en.wikipedia.org/wiki/German_submarine_U-207,1941-06-07,1,{'Markgraf': ['27 August - 11 September 1941']},"{'7th U-boat Flotilla': ['7 June ', ' 11 September 1941']}"
U-208,1941,VIIC,,0,0,0,0,1,"3,872",0,0,0,0,Sunk,7 December 1941,HMS Harvester & HMS Hesperus,https://en.wikipedia.org/wiki/German_submarine_U-208,1941-07-05,2,"{'Mordbrenner': ['16 October', '2 November 1941']}","{'5th U-boat Flotilla': ['5 July ', ' 31 August 1941'], '1st U-boat Flotilla': ['1 September ', ' 7 December 1941']}"
U-209,1941,VIIC,,0,0,0,0,3,"1,136",0,0,1,220,Missing,7 May 1943,Possible diving accident,https://en.wikipedia.org/wiki/German_submarine_U-209,1941-10-11,7,"{'Zieten': ['23', '29 March 1942'], 'Eiswolf': ['29', '31 March 1942'], 'Robbenschlag': ['7', '14 April 1942'], 'Blutrausch': ['15 April 1942'], 'Greif': ['16', '29 May 1942'], 'Boreas': ['19 November - 7 December 1942'], 'Meise': ['25', '27 April 1943'], 'Star': ['27 April - 4 May 1943'], 'Fink': ['4', '6 May 1943']}","{'6th U-boat Flotilla': ['11 October 1941 ', ' 30 June 1942'], '11th U-boat Flotilla': ['1 July 1942 ', ' 28 February 1943'], '1st U-boat Flotilla': ['1 March ', ' 7 May 1943']}"
U-210,1941,VIIC,,0,0,0,0,0,0,0,0,0,0,Sunk,6 August 1942,HMCS Assiniboine,https://en.wikipedia.org/wiki/German_submarine_U-210,1942-02-21,1,"{'Pirat': ['29 July', '3 August 1942'], 'Steinbrinck': ['3', '6 August 1942']}","{'5th U-boat Flotilla': ['21 February ', ' 31 July 1942'], '9th U-boat Flotilla': ['1 ', ' 6 August 1942']}"
U-211,1942,VIIC,,1,"1,350",0,0,0,0,3,"31,883",0,0,Sunk,19 November 1943,RAF Wellington,https://en.wikipedia.org/wiki/German_submarine_U-211,1942-03-07,5,"{'Vorwärts': ['3', '26 September 1942'], 'Panzer': ['27 November', '11 December 1942'], 'Raufbold': ['11', '21 December 1942'], 'Trutz': ['1', '16 June 1943'], 'Trutz 3': ['16', '29 June 1943'], 'Geier 2': ['30 June', '10 July 1943'], 'Schill': ['25 October', '16 November 1943'], 'Schill 1': ['16', '19 November 1943']}","{'5th U-boat Flotilla': ['7 March ', ' 31 August 1942'], '9th U-boat Flotilla': ['1 September ', ' 19 November 1943']}"
U-212,1942,VIIC,,0,0,0,0,1,80,0,0,0,0,Sunk,21 July 1944,HMS Curzon & HMS Ekins,https://en.wikipedia.org/wiki/German_submarine_U-212,1942-04-25,12,"{'Boreas': ['22 November', '9 December 1942'], 'Eisbär': ['27 March', '5 April 1943'], 'Siegfried': ['25', '27 October 1943'], 'Siegfried 1': ['27', '30 October 1943'], 'Körner': ['30 October', '2 November 1943'], 'Tirpitz 1': ['2', '8 November 1943'], 'Eisenhart 4': ['9', '15 November 1943'], 'Schill 3': ['18', '22 November 1943'], 'Rügen': ['15', '26 January 1944'], 'Hinein': ['26 January', '3 February 1944'], 'Igel 1': ['3', '17 February 1944'], 'Hai 1': ['17', '22 February 1944'], 'Preussen': ['22 February', '4 March 1944']}","{'8th U-boat Flotilla': ['25 April ', ' 30 September 1942'], '11th U-boat Flotilla': ['1 October 1942', ' 31 May 1943'], '13th U-boat Flotilla': ['1 June ', ' 31 October 1943'], '3rd U-boat Flotilla': ['1 November 1943 ', ' 21 July 1944']}"
U-213,1941,VIID,,0,0,0,0,0,0,0,0,0,0,Sunk,31 July 1942,"HMS Erne, HMS Rochester and HMS Sandwich",https://en.wikipedia.org/wiki/German_submarine_U-213,1941-08-30,3,"{'Schlei': ['1', '12 February 1942'], 'Westwall\xa0[de]': ['2', '12 March 1942'], 'Pfadfinder': ['21', '27 May 1942']}","{'5th U-boat Flotilla': ['30 August ', ' 31 December 1941'], '1st U-boat Flotilla': ['1 January ', ' 30 April 1942'], '9th U-boat Flotilla': ['1 May ', ' 31 July 1942']}"
U-214,1941,VIID,,1,"1,525",1,"10,552",3,"18,266",1,"6,507",0,0,Sunk,26 July 1944,HMS Cooke,https://en.wikipedia.org/wiki/German_submarine_U-214,1941-11-01,10,"{'Blücher': ['14', '28 August 1942'], 'Iltis': ['6', '23 September 1942']}","{'5th U-boat Flotilla': ['1 November 1941 ', ' 30 April 1942'], '9th U-boat Flotilla': ['1 May 1942 ', ' 26 July 1944']}"
U-215,1941,VIID,,0,0,0,0,1,"7,191",0,0,0,0,Sunk,3 July 1942,HMS Le Tiger,https://en.wikipedia.org/wiki/German_submarine_U-215,1941-11-22,1,,"{'5th U-boat Flotilla': ['22 November 1941 ', ' 30 June 1942'], '9th U-boat Flotilla': ['1 ', ' 3 July 1942']}"
U-216,1941,VIID,,0,0,0,0,1,"4,989",0,0,0,0,Sunk,20 October 1942,RAF Liberator,https://en.wikipedia.org/wiki/German_submarine_U-216,1941-12-15,1,"{'Lohs': ['13', '15 September 1942'], 'Pfeil': ['15', '22 September 1942'], 'Blitz': ['22', '26 September 1942'], 'Luchs': ['27', '29 September 1942'], 'Letzte Ritter': ['29 September - 1 October 1942'], 'Wotan': ['5', '17 October 1942']}","{'5th U-boat Flotilla': ['15 December 1941 ', ' 31 August 1942'], '9th U-boat Flotilla': ['1 September ', ' 20 October 1942']}"
U-217,1941,VIID,,0,0,0,0,3,"10,651",0,0,0,0,Sunk,5 June 1943,US Avenger,https://en.wikipedia.org/wiki/German_submarine_U-217,1942-01-31,3,,"{'5th U-boat Flotilla': ['31 January ', ' 31 July 1942'], '9th U-boat Flotilla': ['1 August 1942 ', ' 5 June 1943']}"
U-218,1941,VIID,,0,0,1,"7,177",2,346,1,"7,361",0,0,Sunk,4 December 1945,Operation Deadlight,https://en.wikipedia.org/wiki/German_submarine_U-218,1942-01-24,10,"{'Vorwärts': ['4', '15 September 1942'], 'Natter': ['2', '8 November 1942'], 'Westwall': ['8', '15 November 1942'], 'Rochen': ['27 January', '25 February 1943'], 'Naab': ['12', '15 May 1943'], 'Donau 2': ['15', '19 May 1943'], 'Mosel': ['19', '24 May 1943']}","{'5th U-boat Flotilla': ['24 January ', ' 31 August 1942'], '9th U-boat Flotilla': ['1 September 1942 ', ' 30 September 1944'], '8th U-boat Flotilla': ['1 October 1944 ', ' 1 March 1945'], '11th U-boat Flotilla': ['1 March ', ' 8 May 1945']}"
U-219,1942,XB,,0,0,0,0,0,0,0,0,0,0,Surrendered,August 1945,Became Japanese sub I-505,https://en.wikipedia.org/wiki/German_submarine_U-219,1942-12-12,2,,"{'4th U-boat Flotilla': ['12 December 1942 - 30 June 1943'], '12th U-boat Flotilla': ['1 July 1943 - 30 September 1944'], '33rd U-boat Flotilla': ['1 October 1944 - 5 May 1945']}"
U-220,1943,XB,,0,0,0,0,2,"7,199",0,0,0,0,Sunk,28 October 1943,US Avenger & Wildcat aircraft,https://en.wikipedia.org/wiki/German_submarine_U-220,1943-03-27,1,,"{'4th U-boat Flotilla': ['27 March - 31 August 1943'], '12th U-boat Flotilla': ['1 September - 28 October 1943']}"
U-221,1942,VIIC,Hans-Hartwig Trojer,10,759,0,0,11,"69,589",1,"7,197",0,0,Sunk,27 September 1943,RAF Halifax,https://en.wikipedia.org/wiki/German_submarine_U-221,1942-05-09,5,"{'Pfeil': ['12', '22 September 1942'], 'Blitz': ['22', '26 September 1942'], 'Tiger': ['26', '30 September 1942'], 'Wotan': ['5', '18 October 1942'], 'Draufgänger': ['29 November - 9 December 1942'], 'Neuland': ['8', '13 March 1943'], 'Dränger': ['14', '20 March 1943'], 'Drossel': ['11', '15 May 1943'], 'Oder': ['17', '19 May 1943'], 'Mosel': ['19', '24 May 1943'], 'Trutz': ['1', '16 June 1943'], 'Trutz 3': ['16', '29 June 1943']}","{'5th U-boat Flotilla': ['9 May ', ' 31 August 1942'], '7th U-boat Flotilla': ['1 September 1942 ', ' 27 September 1943']}"
U-222,1942,VIIC,,0,0,0,0,0,0,0,0,0,0,Sunk,2 September 1942,Collision accident,https://en.wikipedia.org/wiki/German_submarine_U-222,1942-05-23,0,,"{'8th U-boat Flotilla': ['23 May ', ' 2 September 1942']}"
U-223,1942,VIIC,,2,"3,235",0,0,2,"12,556",0,0,1,"4,970",Sunk,30 March 1944,"HMS Tumult, HMS Laforey, HMS Hambledon and HMS Blencathra",https://en.wikipedia.org/wiki/German_submarine_U-223,1942-06-06,6,"{'Haudegen': ['9', '15 February 1943'], 'Nordsturm': ['2', '9 February 1943'], 'Taifun': ['15', '20 February 1943'], 'Amsel': ['22 April', '3 May 1943'], 'Amsel 2': ['3', '6 May 1943'], 'Elbe': ['7', '10 May 1943'], 'Elbe 2': ['10', '12 May 1943']}","{'8th U-boat Flotilla': ['6 June 1942 ', ' 31 January 1943'], '6th U-boat Flotilla': ['1 February 1943 ', ' 31 October 1943'], '29th U-boat Flotilla': ['1 November 1943 ', ' 30 March 1944']}"
U-224,1942,VIIC,,0,0,0,0,2,"9,535",0,0,0,0,Sunk,13 January 1943,HMCS Ville de Quebec,https://en.wikipedia.org/wiki/German_submarine_U-224,1942-06-20,2,,"{'5th U-boat Flotilla': ['20 June ', ' 31 October 1942'], '7th U-boat Flotilla': ['1 November 1942 ', ' 13 January 1943']}"
U-225,1942,VIIC,,0,0,0,0,1,"5,273",4,"24,672",0,0,Sunk,22 February 1943,HMS Dianthus,https://en.wikipedia.org/wiki/German_submarine_U-225,1942-07-11,2,,"{'5th U-boat Flotilla': ['11 July ', ' 31 December 1942'], '1st U-boat Flotilla': ['1 January ', ' 22 February 1943']}"
U-226,1942,VIIC,,0,0,0,0,1,"7,134",0,0,0,0,Sunk,6 November 1943,"HMS Starling, HMS Woodcock and HMS Kite",https://en.wikipedia.org/wiki/German_submarine_U-226,1942-08-01,3,"{'Falke': ['8', '12 January 1943'], 'Habicht': ['10', '19 January 1943'], 'Haudegen': ['19 January', '15 February 1943'], 'Sturmbock': ['24', '26 February 1943'], 'Without name': ['15', '18 April 1943'], 'Specht': ['19 April', '4 May 1943'], 'Fink': ['4', '5 May 1943'], 'Siegfried': ['22', '27 October 1943'], 'Siegfried 3': ['27', '30 October 1943'], 'Jahn': ['30 October', '2 November 1943'], 'Tirpitz 4': ['2', '6 November 1943']}","{'5th U-boat Flotilla': ['1 August ', ' 31 December 1942'], '6th U-boat Flotilla': ['1 January ', ' 6 November 1943']}"
U-227,1942,VIIC,,0,0,0,0,0,0,0,0,0,0,Sunk,30 April 1943,RAAF Hampden,https://en.wikipedia.org/wiki/German_submarine_U-227,1942-08-22,1,,"{'5th U-boat Flotilla': ['22 August 1942 ', ' 1 April 1943'], '7th U-boat Flotilla': ['1 ', ' 30 April 1943']}"
U-228,1942,VIIC,,0,0,0,0,0,0,0,0,0,0,Broken up,1944 – 1945,Shot down 2 aircraft,https://en.wikipedia.org/wiki/German_submarine_U-228,1942-09-12,6,,"{'5th U-boat Flotilla': ['12 September 1942 ', ' 28 February 1943'], '6th U-boat Flotilla': ['1 March 1943 ', ' 4 October 1944']}"
U-229,1942,VIIC,,0,0,0,0,2,"8,352",1,"3,670",0,0,Sunk,22 September 1943,HMS Keppel,https://en.wikipedia.org/wiki/German_submarine_U-229,1942-10-03,3,"{'Neuland': ['4', '6 March 1943'], 'Ostmark': ['6', '11 March 1943'], 'Stürmer': ['11', '16 March 1943'], 'Leuthen': ['15', '23 September 1943']}","{'5th U-boat Flotilla': ['3 October 1942 ', ' 28 February 1943'], '6th U-boat Flotilla': ['1 March ', ' 22 September 1943']}"
U-230,1942,VIIC,Herbert Werner,3,"3,585",0,0,1,"2,868",0,0,0,0,Scuttled,21 August 1944,Ran aground,https://en.wikipedia.org/wiki/German_submarine_U-230,1942-10-24,8,,"{'5th U-boat Flotilla': ['24 October 1942 ', ' 31 January 1943'], '9th U-boat Flotilla': ['1 February ', ' 30 November 1943'], '29th U-boat Flotilla': ['1 December 1943 ', ' 21 August 1944']}"
U-231,1942,VIIC,,0,0,0,0,0,0,0,0,0,0,Sunk,13 January 1944,RAF Wellington,https://en.wikipedia.org/wiki/German_submarine_U-231,1942-11-14,3,"{'Star': ['27 April - 4 May 1943'], 'Fink': ['4', '6 May 1943'], 'Elbe': ['7', '10 May 1943'], 'Elbe 1': ['10', '14 May 1943'], 'Mosel': ['19', '22 May 1943'], 'Schlieffen': ['14', '22 October 1943'], 'Siegfried': ['22', '27 October 1943'], 'Siegfried 1': ['27', '30 October 1943'], 'Körner': ['30 October - 2 November 1943'], 'Borkum': ['1', '3 January 1944'], 'Borkum 3': ['3', '13 January 1944']}","{'5th U-boat Flotilla': ['14 November 1942 ', ' 30 April 1943'], '3rd U-boat Flotilla': ['1 May ', ' 13 January 1944']}"
U-232,1942,VIIC,,0,0,0,0,0,0,0,0,0,0,Sunk,9 July 1943,RAF Wellington,https://en.wikipedia.org/wiki/German_submarine_U-232,1942-11-28,0,"{'Trutz': ['1', '16 June 1943'], 'Trutz 2': ['16', '29 June 1943'], 'Geier 3': ['30 June', '8 July 1943']}","{'5th U-boat Flotilla': ['28 November 1942 ', ' 30 April 1943'], '9th U-boat Flotilla': ['1 May ', ' 9 July 1943']}"
U-233,1943,XB,,0,0,0,0,0,0,0,0,0,0,Sunk,5 July 1944,USS Baker & USS Thomas,https://en.wikipedia.org/wiki/German_submarine_U-233,1943-09-22,1,,"{'4th U-boat Flotilla': ['22 September 1943 ', ' 31 May 1944'], '12th U-boat Flotilla': ['1 June 1944 ', ' 5 July 1944']}"
U-234,1943,XB,,0,0,0,0,0,0,0,0,0,0,Surrendered,19 May 1945,"Portsmouth, New Hampshire",https://en.wikipedia.org/wiki/German_submarine_U-234,1944-03-02,1,,"{'5th U-boat Flotilla': ['2 March 1944 - 28 February 1945'], '33rd U-boat Flotilla': ['1 March 1945 - 8 May 1945']}"
U-235,1942,VIIC,,0,0,0,0,0,0,0,0,0,0,Sunk,14 April 1945,Friendly fire from German torpedo boat,https://en.wikipedia.org/wiki/German_submarine_U-235,1942-12-19,0,,"{'5th U-boat Flotilla': ['19 December 1942 ', ' 20 May 1943'], '22nd U-boat Flotilla': ['29 October 1943 ', ' 1 April 1945'], '31st U-boat Flotilla': ['2 ', ' 14 April 1945']}"
U-236,1942,VIIC,,0,0,0,0,0,0,0,0,0,0,Scuttled,5 May 1945,,https://en.wikipedia.org/wiki/German_submarine_U-236,1943-01-09,0,,"{'5th U-boat Flotilla': ['9 January ', ' 20 May 1943'], '24th U-boat Flotilla': ['29 September 1943 ', ' 30 April 1944'], '21st U-boat Flotilla': ['1 May 1944 ', ' 28 February 1945'], '31st U-boat Flotilla': ['1 March ', ' 5 May 1945']}"
U-237,1942,VIIC,,0,0,0,0,0,0,0,0,0,0,Sunk,4 April 1945,Air raid,https://en.wikipedia.org/wiki/German_submarine_U-237,1943-01-30,0,,"{'5th U-boat Flotilla': ['30 January ', ' 26 May 1943'], '23rd U-boat Flotilla': ['8 October 1943 ', ' 28 February 1945'], '31st U-boat Flotilla': ['1 March ', ' 4 April 1945']}"
U-238,1943,VIIC,,0,0,0,0,4,"23,048",1,"7,176",0,0,Sunk,9 February 1944,"HMS Kite, HMS Magpie and HMS Starling",https://en.wikipedia.org/wiki/German_submarine_U-238,1943-02-20,3,"{'Leuthen': ['15', '24 September 1943'], 'Schill 2': ['17', '22 November 1943'], 'Weddigen': ['22 November', '1 December 1943'], 'Igel 2': ['4', '9 February 1944']}","{'5th U-boat Flotilla': ['20 February ', ' 31 July 1943'], '1st U-boat Flotilla': ['1 August 1943 ', ' 9 February 1944']}"
U-239,1943,VIIC,,0,0,0,0,0,0,0,0,0,0,Broken up,1944,Air raid,https://en.wikipedia.org/wiki/German_submarine_U-239,1943-03-13,0,,"{'5th U-boat Flotilla': ['25 July ', ' 5 August 1944'], '22nd U-boat Flotilla': ['1 July 1943 ', ' 24 July 1944']}"
U-240,1943,VIIC,,0,0,0,0,0,0,0,0,0,0,Missing,15 May 1944,Lost without trace,https://en.wikipedia.org/wiki/German_submarine_U-240,1943-04-03,1,,"{'5th U-boat Flotilla': ['3 April 1943 ', ' 31 January 1944'], '9th U-boat Flotilla': ['1 February ', ' 15 May 1944']}"
U-241,1943,VIIC,,0,0,0,0,0,0,0,0,0,0,Sunk,18 May 1944,RAF Catalina,https://en.wikipedia.org/wiki/German_submarine_U-241,1943-07-24,1,,"{'5th U-boat Flotilla': ['24 July 1943 ', ' 31 March 1944'], '3rd U-boat Flotilla': ['1 April 1944 ', ' 18 May 1944']}"
U-242,1943,VIIC,,1,500,0,0,2,"2,095",0,0,0,0,Sunk,5 April 1945,Struck a mine,https://en.wikipedia.org/wiki/German_submarine_U-242,1943-08-14,7,,"{'5th U-boat Flotilla': ['24 March ', ' 5 April 1945'], '3rd U-boat Flotilla': ['1 June ', ' 5 July 1944'], '8th U-boat Flotilla': ['1 August 1944 ', ' 15 February 1945']}"
U-243,1943,VIIC,,0,0,0,0,0,0,0,0,0,0,Sunk,8 July 1944,RAAF Sunderland,https://en.wikipedia.org/wiki/German_submarine_U-243,1943-10-02,1,,"{'5th U-boat Flotilla': ['2 October 1943 ', ' 31 May 1944'], '1st U-boat Flotilla': ['1 June 1943 ', ' 8 July 1944']}"
U-244,1943,VIIC,,0,0,0,0,0,0,0,0,0,0,Surrendered,14 May 1945,Operation Deadlight,https://en.wikipedia.org/wiki/German_submarine_U-244,1943-10-09,4,,"{'5th U-boat Flotilla': ['9 October 1943 ', ' 31 July 1944'], '9th U-boat Flotilla': ['1 August ', ' 31 October 1944'], '11th U-boat Flotilla': ['1 November 1944 ', ' 8 May 1945']}"
U-245,1943,VIIC,,0,0,0,0,3,"17,087",0,0,0,0,Surrendered,9 May 1945,Operation Deadlight,https://en.wikipedia.org/wiki/German_submarine_U-245,1943-12-18,3,,"{'5th U-boat Flotilla': ['18 December 1943 ', ' 31 July 1944'], '3rd U-boat Flotilla': ['1 August ', ' 1 October 1944'], '33rd U-boat Flotilla': ['1 October 1944 ', ' 8 May 1945']}"
U-246,1943,VIIC,,0,0,0,0,0,0,0,0,0,0,Sunk,17 March 1945,,https://en.wikipedia.org/wiki/German_submarine_U-246,1944-01-11,1,,"{'5th U-boat Flotilla': ['11 January ', ' 31 July 1944'], '3rd U-boat Flotilla': ['1 August ', ' 30 September 1944'], '11th U-boat Flotilla': ['1 October 1944 ', ' 17 March 1945']}"
U-247,1943,VIIC,,0,0,0,0,1,207,0,0,0,0,Sunk,1 September 1944,HMCS Swansea & HMCS Saint John,https://en.wikipedia.org/wiki/German_submarine_U-247,1943-10-23,2,,"{'5th U-boat Flotilla': ['23 October 1943 ', ' 31 May 1944'], '1st U-boat Flotilla': ['1 June ', ' 1 September 1944']}"
U-248,1943,VIIC,,0,0,0,0,0,0,0,0,0,0,Sunk,16 January 1945,"USS Hayter, USS Otter, USS Varian and USS Hubbard",https://en.wikipedia.org/wiki/German_submarine_U-248,1943-11-06,2,,"{'5th U-boat Flotilla': ['6 November 1943 ', ' 31 July 1944'], '9th U-boat Flotilla': ['1 August ', ' 31 October 1944'], '11th U-boat Flotilla': ['11 November 1944 ', ' 16 January 1945']}"
U-249,1943,VIIC,,0,0,0,0,0,0,0,0,0,0,Surrendered,10 May 1945,Operation Deadlight,https://en.wikipedia.org/wiki/German_submarine_U-249,1943-11-20,2,,"{'5th U-boat Flotilla': ['20 November 1943 ', ' 8 May 1945']}"
U-250,1943,VIIC,,1,56,0,0,0,0,0,0,0,0,Sunk,30 July 1944,Enemy action. Later raised and served as Soviet sub TS-14,https://en.wikipedia.org/wiki/German_submarine_U-250,1943-12-12,1,,"{'5th U-boat Flotilla': ['12 December 1943 ', ' 1 July 1944'], '8th U-boat Flotilla': ['1 ', ' 30 July 1944']}"
U-251,1941,VIIC,Heinrich Timm,0,0,0,0,2,"11,408",0,0,0,0,Sunk,19 April 1945,RAF Mosquito,https://en.wikipedia.org/wiki/German_submarine_U-251,1941-09-20,10,"{'Strauchritter': ['29 April', '5 May 1942'], 'Eisteufel': ['21 June', '12 July 1942'], 'Eisbär': ['27 March', '15 April 1943']}","{'6th U-boat Flotilla': ['20 September 1941 ', ' 30 June 1942'], '11th U-boat Flotilla': ['1 July 1942 ', ' 31 May 1943'], '13th U-boat Flotilla': ['1 ', ' 30 June 1943'], '24th U-boat Flotilla': ['1 July ', ' 30 November 1943'], '21st U-boat Flotilla': ['1 December 1943 ', ' 28 February 1945'], '31st U-boat Flotilla': ['1 March ', ' 19 April 1945']}"
U-252,1941,VIIC,,0,0,0,0,1,"1,355",0,0,0,0,Sunk,14 April 1942,HMS Stork & HMS Vetch,https://en.wikipedia.org/wiki/German_submarine_U-252,1941-10-04,1,,"{'6th U-boat Flotilla': ['4 October 1941 ', ' 14 April 1942']}"
U-253,1941,VIIC,,0,0,0,0,0,0,0,0,0,0,Sunk,25 September 1942,Struck a mine,https://en.wikipedia.org/wiki/German_submarine_U-253,1941-10-21,1,,"{'8th U-boat Flotilla': ['21 October 1941 ', ' 31 August 1942'], '6th U-boat Flotilla': ['1 ', ' 25 September 1942']}"
U-254,1941,VIIC,,0,0,0,0,3,"18,553",0,0,0,0,Sunk,8 December 1942,Collision accident,https://en.wikipedia.org/wiki/German_submarine_U-254,1941-11-08,3,,"{'8th U-boat Flotilla': ['8 November 1941 ', ' 31 July 1942'], '9th U-boat Flotilla': ['1 August ', ' 8 December 1942']}"
U-255,1941,VIIC,Reinhart Reche,1,"1,200",0,0,10,"47,640",0,0,1,"7,191",Surrendered,17 May 1945,Operation Deadlight,https://en.wikipedia.org/wiki/German_submarine_U-255,1941-11-29,15,"{'Eisteufel': ['1', '12 July 1942'], 'Nebelkönig': ['7', '9 August 1942'], 'Nordwind': ['24 January - 4 February 1943'], 'Taifun': ['2', '4 April 1943'], 'Eisbär': ['4', '15 April 1943'], 'Preussen': ['9', '22 March 1944']}","{'8th U-boat Flotilla': ['29 November 1941 ', ' 30 June 1942'], '11th U-boat Flotilla': ['1 July 1942 ', ' 31 May 1943'], '13th U-boat Flotilla': ['1 March ', ' 8 May 1945'], '7th U-boat Flotilla': ['1 December 1943 ', ' 1 September 1944']}"
U-256,1941,VIIC,Heinrich Lehmann-Willenbrock,1,"1,300",0,0,0,0,0,0,0,0,Decommissioned,23 October 1944,Later captured,https://en.wikipedia.org/wiki/German_submarine_U-256,1941-12-18,5,"{'Steinbrinck': ['7', '11 August 1942'], 'Lohs': ['11', '25 August 1942'], 'Igel 2': ['3', '17 February 1944'], 'Hai 1': ['17', '22 February 1944'], 'Preussen': ['22 February - 13 March 1944']}","{'8th U-boat Flotilla': ['18 December 1941 ', ' 31 July 1942'], '9th U-boat Flotilla': ['1 August ', ' 30 November 1942']}"
U-257,1941,VIIC,,0,0,0,0,0,0,0,0,0,0,Sunk,24 February 1944,HMCS Waskesiu & HMS Nene,https://en.wikipedia.org/wiki/German_submarine_U-257,1942-01-14,6,"{'Luchs': ['27 September', '6 October 1942'], 'Falke': ['28 December 1942', '19 January 1943'], 'Landsknecht': ['19', '28 January 1943'], 'Seewolf': ['25', '30 March 1943'], 'Adler': ['7', '13 April 1943'], 'Meise': ['13', '20 April 1943'], 'Specht': ['21', '25 April 1943']}","{'5th U-boat Flotilla': ['14 January ', ' 30 September 1942'], '3rd U-boat Flotilla': ['1 October 1942 ', ' 24 February 1944']}"
U-258,1941,VIIC,,0,0,0,0,1,"6,198",0,0,0,0,Sunk,20 May 1943,RAF Liberator,https://en.wikipedia.org/wiki/German_submarine_U-258,1942-02-04,4,,"{'5th U-boat Flotilla': ['4 February ', ' 31 August 1942'], '3rd U-boat Flotilla': ['1 September 1942 ', ' 20 May 1943']}"
U-259,1941,VIIC,,0,0,0,0,0,0,0,0,0,0,Sunk,15 November 1942,RAF Hudson,https://en.wikipedia.org/wiki/German_submarine_U-259,1942-02-18,2,"{'Lohs': ['13', '22 September 1942'], 'Blitz': ['22', '25 September 1942'], 'Delphin': ['5', '12 November 1942'], 'Wal': ['12', '15 November 1942']}","{'5th U-boat Flotilla': ['18 February ', ' 31 August 1942'], '3rd U-boat Flotilla': ['1 September ', ' 15 November 1942']}"
U-260,1942,VIIC,,0,0,0,0,1,"4,893",0,0,0,0,Sunk,12 March 1945,Struck a mine,https://en.wikipedia.org/wiki/German_submarine_U-260,1942-03-14,8,"{'Blitz': ['22', '26 September 1942'], 'Tiger': ['26', '30 September 1942'], 'Luchs': ['1', '6 October 1942'], 'Panther': ['6', '11 October 1942'], 'Südwärts': ['24', '26 October 1942'], 'Spitz': ['22', '31 December 1942'], 'Seeteufel': ['21', '30 March 1943'], 'Löwenherz': ['1', '10 April 1943'], 'Lerche': ['10', '15 April 1943'], 'Specht': ['21 April', '4 May 1943'], 'Fink': ['4', '6 May 1943'], 'Leuthen': ['15', '24 September 1943'], 'Rossbach': ['24 September', '7 October 1943'], 'Rügen 6': ['28 December 1943', '2 January 1944'], 'Rügen 5': ['2', '7 January 1944'], 'Rügen': ['7', '11 January 1944']}","{'8th U-boat Flotilla': ['14 March ', ' 30 September 1942'], '6th U-boat Flotilla': ['1 October 1942 ', ' 31 October 1944'], '33rd U-boat Flotilla': ['1 November 1944 ', ' 12 March 1945']}"
U-261,1942,VIIC,,0,0,0,0,0,0,0,0,0,0,Sunk,15 September 1942,RAF Whitley depth charges,https://en.wikipedia.org/wiki/German_submarine_U-261,1942-03-28,1,,"{'8th U-boat Flotilla': ['28 March ', ' 1 September 1942'], '6th U-boat Flotilla': ['1 ', ' 15 September 1942']}"
U-262,1942,VIIC,Heinz Franke,1,925,0,0,3,"13,010",0,0,0,0,Stricken,2 April 1945,Bomb damage,https://en.wikipedia.org/wiki/German_submarine_U-262,1942-04-15,10,,"{'5th U-boat Flotilla': ['15 April ', ' 30 September 1942'], '3rd U-boat Flotilla': ['1 October 1942 ', ' 9 November 1944'], '33rd U-boat Flotilla': ['10 November 1944 ', ' 2 April 1945']}"
